stein_lam_abs,_timestamp,corrector_loss,_step,energy_w2,stein_var_ratio,_runtime,adjoint_buffer_size,stein_score_loss,dist_w2,adjoint_loss,stein_bias_z,eq_w2,stein_active,stein_tau_mean,corrector_buffer_size
9.656350135803223,1790075154.0955486,,2124,,0.8160902261734009,8920.071950858,10000.0,-74.36836242675781,,1.368005394935608,2.4125342250886175,,1.0,0.9287224411964417,
9.871413230895996,1790075158.0706263,,2125,,0.8199844360351562,8924.083208119,10000.0,-74.98922729492188,,1.3613160848617554,2.1162349958897226,,1.0,0.9302354454994202,
9.680826187133789,1790075162.0818877,,2126,,0.8182451725006104,8928.065909524,10000.0,-75.5595932006836,,1.372336745262146,2.5620841655789923,,1.0,0.9272139668464661,
9.372781753540039,1790075166.0645976,,2127,,0.8178097605705261,8932.087156039,10000.0,-75.07804870605469,,1.3820807933807373,2.222539302501763,,1.0,0.9272050261497498,
9.222334861755371,1790075170.0858576,,2128,,0.8152053356170654,8936.092805067,10000.0,-75.48541259765625,,1.3891494274139404,3.372808329724048,,1.0,0.9275504946708679,
9.107599258422852,1790075174.0914896,,2129,,0.8195711374282837,8940.210454857,10000.0,-76.14886474609375,,1.3711059093475342,3.397905122824023,,1.0,0.9277237057685852,
9.072671890258789,1790075178.209116,,2130,,0.8150151968002319,8944.203615299,10000.0,-75.4221420288086,,1.3860812187194824,3.787111702222109,,1.0,0.92698073387146,
9.493322372436523,1790075182.2023091,,2131,,0.8161243200302124,8948.203932859,10000.0,-75.73973846435547,,1.3661227226257324,2.5204449283953956,,1.0,0.9287242889404297,
9.426061630249023,1790075186.2024462,,2132,,0.8176127076148987,8952.193184721,10000.0,-75.61412811279297,,1.3725552558898926,2.1342731759242546,,1.0,0.9275674223899841,
9.36326789855957,1790075190.1918645,,2133,,0.8163084387779236,8956.205009282,10000.0,-75.87632751464844,,1.3779634237289429,2.454956933829221,,1.0,0.9278342723846436,
